,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
0,7226362.5,249.98,1.0,12,88434,60.0,89,Hotel
1,8387933.0,295.86,1.0,11,103566,61.0,20,Hotel
2,72587024.0,2089.28,1.0,41,956110,43.0,47,Hotel
3,6794584.0,286.43,1.0,10,61320,56.0,90,Hotel
4,14172606.0,505.01,1.0,18,175580,75.0,36,Hotel
5,12086616.0,301.81,1.0,2,97288,77.8,17,Other
6,5758795.0,176.14,1.0,11,83008,27.0,90,Hotel
7,6298131.5,221.51,1.0,8,102761,80.6,90,Other
8,13723820.0,392.16,1.0,15,163984,43.0,112,Hotel
10,16016644.0,691.26,1.0,11,153163,30.0,47,Hotel
11,26941110.0,740.97,1.0,25,333176,36.0,18,Hotel
12,6596057.5,328.23,1.0,9,65009,48.0,88,Hotel
13,22325364.0,648.62,1.0,33,315952,58.0,36,Hotel
14,10750010.0,511.39,1.0,11,92190,35.0,94,Hotel
15,18588860.0,181.38,1.0,11,412000,62.6,12,Other
16,9956396.0,433.86,1.0,6,103911,56.4,86,Other
17,33556756.0,802.89,1.0,28,416281,31.0,33,Hotel
18,7606084.5,273.02,1.0,5,57452,61.6,109,Mixed Use Property
19,10154608.0,349.32,1.0,10,104352,39.0,100,Hotel
20,44984468.0,1265.29,1.0,10,540360,76.0,100,Other
21,47859812.0,1699.45,1.0,19,385274,52.6,31,Other
23,3663534.5,90.01,1.0,6,88592,84.0,15,Hotel
24,11343686.0,388.04,1.0,7,126593,59.4,88,Other
25,1310236.625,9.13,1.0,2,67224,75.0,86,Other
26,5328051.5,256.57,1.0,8,158676,49.6,25,Hotel
27,11061916.0,328.63,1.0,10,171866,57.0,15,Hotel
29,4456714.5,128.44,1.0,5,68410,57.0,38,Hotel
32,4145920.5,157.77,1.0,3,87262,45.6,110,Small- and Mid-Sized Office
33,6668568.5,215.0,1.0,4,81871,29.0,22,Hotel
34,318364.8125,3.93,1.0,2,110356,84.0,61,Other
35,448385312.0,16870.98,1.0,3,494835,8.0,24,Mixed Use Property
36,44731160.0,311.84,3.0,2,714095,72.4,55,Warehouse
39,6186461.5,130.56,1.0,2,94900,57.0,55,Small- and Mid-Sized Office
40,2951331.25,83.86,1.0,2,52554,83.0,116,Small- and Mid-Sized Office
41,6994740.5,247.85,1.0,3,175015,95.0,62,Other
42,2158629.0,45.43,1.0,3,70586,60.6,105,Other
43,16163194.0,295.33,1.0,24,332210,67.0,47,Hotel
44,9536161.0,66.48,1.0,5,168115,78.0,43,Large Office
45,1247362.0,33.26,1.0,2,57428,66.6,96,Other
46,5071974.0,35.36,1.0,8,59400,14.0,106,Small- and Mid-Sized Office
47,15026196.0,584.31,1.0,2,52549,47.8,90,Mixed Use Property
48,4841347.5,59.19,1.0,20,98634,71.0,86,Hotel
49,80469216.0,2451.58,1.0,34,994212,63.0,34,Hotel
50,5348309.0,134.38,1.0,7,71150,98.0,31,Hotel
51,5401277.5,227.18,1.0,7,122810,99.0,108,Hotel
52,5284343.5,144.79,1.0,5,113173,86.0,57,Hotel
53,6715187.0,199.95,1.0,7,150453,84.0,16,Hotel
54,5827595.5,162.39,1.0,6,116300,80.0,19,Hotel
55,6836900.0,152.76,1.0,6,155602,81.0,18,Hotel
56,3234787.75,146.34,1.0,3,56072,76.0,105,Other
57,5337334.0,171.64,1.0,4,122942,94.0,17,Hotel
58,3375211.0,87.98,1.0,2,54984,71.0,54,Small- and Mid-Sized Office
59,42792072.0,1727.11,1.0,5,217603,54.0,94,Other
